date,month,year,country,customer_name,group_1,group_2,packaging,rm_size,soup,order_unit,order_cups,cups_per_unit,production
08,10,2023,USA,Bellisio,C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,901,14416,16.0,
08,01,2024,.7-11,ถ้วยขาวพิมพ์ลายใหม่,Wonton,Cooked Wonton,130g*24,SS,Regular,2878,69072,24.0,
08,01,2024,Netherlands,Westbridge Foods Limited,Wonton ND+V+TY,Cooked Wonton,307g*4c*6in,M,TYEX+CO,924,22176,24.0,
08,01,2024,SG,CPI SINGAPORE,R-Wonton egg past,Raw Wonton,154g*20in,S,ซุปซอง 5g.,664,13280,20.0,
08,01,2024,.7-11,ถ้วยขาวพิมพ์ลายใหม่,Wonton,Cooked Wonton,130g*24,SS,Regular,5492,131808,24.0,
16,01,2024,UK,Westbridge Foods Limited,Wonton ND+V+TY,Cooked Wonton,307g*4c*6in,M,TYEX+CO,924,22176,24.0,
08,01,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,546,4368,8.0,
08,10,2023,USA,Bellisio,C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,599,9584,16.0,
08,01,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,555,4440,8.0,
08,01,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,202,1616,8.0,
15,01,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton NDE,Cooked Wonton,226g*12,M,Regular,515,6180,12.0,
29,01,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton TY,Cooked Wonton,115g*12,M,TYTB3C 30G,320,3840,12.0,
08,01,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton,Cooked Wonton,145g*12,M,Regular,2919,35028,12.0,
18,01,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton,Cooked Wonton,270g*3B*6B,M,ซุปซอง 5g.,1700,30600,18.0,
08,01,2024,.7-11,ซีพีเอฟ เทรดดิ้ง,E+Wonton+หมาล่า,Cooked Wonton,143g*24,SS,หมาล่า,2030,48720,24.0,
